,model,price,mileage,cylinder,daysOnMarket,city,dealer,year,trim,driveline,transmission
0,toyota_tacoma,34599,59972.0,6.0,24,Montclair,IE Motors Direct,2022,SR V6,4X4,automatic
1,toyota_camry,20899,78094.0,4.0,59,Montclair,IE Motors Direct,2020,XSE,FWD,automatic
2,toyota_corolla,20399,44934.0,4.0,9,Montclair,IE Motors Direct,2021,SE,FWD,automatic
3,toyota_camry hybrid,26699,14596.0,4.0,55,Montclair,IE Motors Direct,2022,SE,FWD,automatic
4,toyota_sienna,39141,39898.0,4.0,23,Montclair,IE Motors Direct,2021,XLE 8-Passenger,FWD,automatic
5,toyota_venza,25299,47093.0,4.0,23,Montclair,IE Motors Direct,2021,LE,AWD,automatic
6,toyota_corolla,17599,59078.0,4.0,15,Montclair,IE Motors Direct,2020,SE,FWD,automatic
7,toyota_rav4 hybrid,37499,24735.0,4.0,16,Montclair,IE Motors Direct,2023,XSE,AWD,automatic
8,toyota_corolla hybrid,20999,61224.0,,102,Montclair,IE Motors Direct,2022,LE,FWD,automatic
9,toyota_c_hr,16799,51155.0,4.0,50,Montclair,IE Motors Direct,2018,XLE,FWD,automatic
10,toyota_corolla hatchback,17923,70579.0,4.0,58,Santa Ana,California Motors Direct,2019,SE,FWD,manual
11,toyota_tacoma,36664,21516.0,6.0,51,Santa Ana,California Motors Direct,2022,SR V6,4X4,automatic
12,toyota_camry,24996,56734.0,6.0,37,Santa Ana,California Motors Direct,2019,XSE V6,FWD,automatic
13,toyota_corolla,16699,62520.0,4.0,35,Santa Ana,California Motors Direct,2021,LE,FWD,automatic
14,toyota_prius,20199,69135.0,4.0,45,Santa Ana,California Motors Direct,2019,L Eco,FWD,automatic
15,toyota_tacoma,51599,,4.0,55,Santa Ana,California Motors Direct,2024,SR5,4X4,automatic
16,toyota_camry hybrid,23696,61719.0,4.0,162,Santa Ana,California Motors Direct,2021,SE,FWD,automatic
17,toyota_tacoma,44699,41617.0,6.0,122,Santa Ana,California Motors Direct,2021,SR V6,4X4,automatic
18,toyota_camry,26372,16128.0,4.0,37,Santa Ana,California Motors Direct,2023,SE,FWD,automatic
19,toyota_corolla,16999,41702.0,4.0,42,Santa Ana,California Motors Direct,2022,LE,FWD,automatic
20,toyota_tacoma,36599,22247.0,6.0,57,Santa Ana,California Motors Direct,2023,SR V6,4X4,automatic
21,toyota_rav4 hybrid,33499,30681.0,4.0,27,Santa Ana,California Motors Direct,2022,SE,AWD,automatic
22,toyota_rav4,21499,51856.0,4.0,40,Santa Ana,California Motors Direct,2017,SE,FWD,automatic
23,toyota_camry,20399,36262.0,4.0,37,Fontana,Fontana Motors Direct,2019,LE,FWD,automatic
24,toyota_86,21499,77675.0,4.0,142,Fontana,Fontana Motors Direct,2017,Base,RWD,manual
25,toyota_camry,25799,22156.0,4.0,37,Fontana,Fontana Motors Direct,2023,SE,FWD,automatic
26,toyota_corolla,14899,70960.0,4.0,6,Fontana,Fontana Motors Direct,2017,L,FWD,automatic
27,toyota_corolla,16399,67023.0,4.0,119,Fontana,Fontana Motors Direct,2022,LE,FWD,automatic
28,toyota_4_runner,42299,44980.0,6.0,35,Fontana,Fontana Motors Direct,2021,TRD Off-Road Premium,4X4,automatic
29,toyota_mirai,13899,9995.0,,45,Fontana,Fontana Motors Direct,2021,XLE,RWD,automatic
30,toyota_corolla,9845,129505.0,4.0,85,Bellflower,605 Auto Sales,2014,LE Plus,FWD,automatic
31,toyota_camry,24199,24987.0,4.0,43,Fontana,Fontana Motors Direct,2022,SE,FWD,automatic
32,toyota_camry,21290,31444.0,4.0,93,Fontana,Fontana Motors Direct,2023,LE,FWD,automatic
33,toyota_corolla,19199,23431.0,4.0,35,Fontana,Fontana Motors Direct,2022,LE,FWD,automatic
34,toyota_rav4,23999,44090.0,4.0,58,Fontana,Fontana Motors Direct,2021,XLE,FWD,automatic
35,toyota_camry,21306,65244.0,4.0,70,Fontana,Fontana Motors Direct,2022,SE,FWD,automatic
36,toyota_camry,24799,10514.0,4.0,6,Fontana,Fontana Motors Direct,2023,SE,FWD,automatic
37,toyota_prius,17599,44529.0,4.0,15,Santa Ana,California Motors Direct,2017,Two Eco,FWD,automatic
38,toyota_rav4 hybrid,31863,45327.0,4.0,157,Santa Ana,California Motors Direct,2023,XLE Premium,AWD,automatic
39,toyota_corolla,16799,58918.0,4.0,72,Santa Ana,California Motors Direct,2021,SE,FWD,automatic
40,toyota_rav4 hybrid,31863,45327.0,4.0,157,Santa Ana,California Motors Direct,2023,XLE Premium,AWD,automatic
41,toyota_camry,18399,63772.0,4.0,24,Montclair,IE Motors Direct,2019,LE,FWD,automatic
42,toyota_corolla i_m,11869,112160.0,4.0,101,Montclair,IE Motors Direct,2018,Base,FWD,manual
43,toyota_rav4,31999,22499.0,4.0,47,Montclair,IE Motors Direct,2022,XLE Premium,AWD,automatic
44,toyota_tundra,34299,50537.0,8.0,100,Montclair,IE Motors Direct,2019,SR5,RWD,automatic
45,toyota_corolla cross,21917,39194.0,4.0,87,Montclair,IE Motors Direct,2022,LE,FWD,automatic
46,toyota_prius,18208,67841.0,4.0,106,Montclair,IE Motors Direct,2016,Four,FWD,automatic
47,toyota_camry,18908,63307.0,4.0,77,Montclair,IE Motors Direct,2018,LE,FWD,automatic
48,toyota_camry,18026,57860.0,4.0,97,Montclair,IE Motors Direct,2021,LE,FWD,automatic
49,toyota_venza,30899,22233.0,4.0,44,Montclair,IE Motors Direct,2021,LE,AWD,automatic
50,toyota_4_runner,46099,42046.0,6.0,28,Santa Ana,California Motors Direct,2023,Limited,RWD,automatic
51,toyota_corolla hybrid,19640,42273.0,,21,Santa Ana,California Motors Direct,2021,LE,FWD,automatic
52,toyota_corolla,23899,3269.0,4.0,79,Santa Ana,California Motors Direct,2024,SE,FWD,automatic
53,toyota_tacoma,38499,26178.0,6.0,59,Santa Ana,California Motors Direct,2023,SR V6,4X4,automatic
54,toyota_camry hybrid,24860,30519.0,4.0,101,Santa Ana,California Motors Direct,2020,LE,FWD,automatic
55,toyota_camry hybrid,21306,48613.0,4.0,129,Santa Ana,California Motors Direct,2021,LE,FWD,automatic
56,toyota_corolla,18999,36139.0,4.0,26,Santa Ana,California Motors Direct,2022,SE,FWD,automatic
57,toyota_rav4 hybrid,22096,87524.0,4.0,225,Santa Ana,California Motors Direct,2021,LE,AWD,automatic
58,toyota_camry,16162,106041.0,4.0,72,Santa Ana,California Motors Direct,2020,SE,FWD,automatic
59,toyota_prius,19207,43105.0,4.0,72,Santa Ana,California Motors Direct,2017,Two,FWD,automatic
60,toyota_camry,21290,31444.0,4.0,93,Fontana,Fontana Motors Direct,2023,LE,FWD,automatic
61,toyota_corolla,19199,23431.0,4.0,35,Fontana,Fontana Motors Direct,2022,LE,FWD,automatic
62,toyota_rav4,23999,44090.0,4.0,58,Fontana,Fontana Motors Direct,2021,XLE,FWD,automatic
63,toyota_camry,21306,65244.0,4.0,70,Fontana,Fontana Motors Direct,2022,SE,FWD,automatic
64,toyota_camry,24799,10514.0,4.0,6,Fontana,Fontana Motors Direct,2023,SE,FWD,automatic
65,toyota_camry,18799,64443.0,4.0,55,Fontana,Fontana Motors Direct,2022,LE,FWD,automatic
66,toyota_tacoma,35399,77870.0,6.0,51,Fontana,Fontana Motors Direct,2018,SR V6,4X4,automatic
67,toyota_corolla,16899,63650.0,4.0,6,Montclair,IE Motors Direct,2018,L,FWD,automatic
68,toyota_rav4,22199,56288.0,4.0,50,Montclair,IE Motors Direct,2021,LE,FWD,automatic
69,toyota_camry,23599,12563.0,4.0,33,Montclair,IE Motors Direct,2022,SE,FWD,automatic
70,toyota_camry,22999,38561.0,4.0,50,Montclair,IE Motors Direct,2021,SE Nightshade,FWD,automatic
71,toyota_tacoma,34520,56749.0,6.0,37,Montclair,IE Motors Direct,2019,TRD Off-Road,4X4,automatic
72,toyota_camry,19999,49596.0,4.0,43,Montclair,IE Motors Direct,2020,SE,FWD,automatic
73,toyota_highlander,34899,13331.0,6.0,57,Montclair,IE Motors Direct,2022,XLE,FWD,automatic
74,toyota_highlander hybrid,37399,36049.0,4.0,15,Montclair,IE Motors Direct,2022,XLE,FWD,automatic
75,toyota_corolla,14739,77118.0,4.0,100,Montclair,IE Motors Direct,2018,L,FWD,automatic
76,toyota_tacoma,26596,44972.0,,33,Montclair,IE Motors Direct,2022,SR,RWD,automatic
77,toyota_86,20381,62364.0,4.0,33,Fontana,Fontana Motors Direct,2017,Base,RWD,manual
78,toyota_prius,23499,69694.0,4.0,30,Fontana,Fontana Motors Direct,2023,LE,FWD,automatic
79,toyota_tacoma,35716,65312.0,6.0,57,Fontana,Fontana Motors Direct,2023,SR5 V6,4X4,automatic
80,toyota_corolla,19499,57078.0,4.0,21,Fontana,Fontana Motors Direct,2021,SE,FWD,automatic
81,toyota_tundra,38999,66539.0,8.0,36,Fontana,Fontana Motors Direct,2017,1794 Edition,4X4,automatic
82,toyota_4_runner,41299,53319.0,6.0,15,Fontana,Fontana Motors Direct,2023,TRD Off-Road,4X4,automatic
83,toyota_corolla,20299,,4.0,59,Fontana,Fontana Motors Direct,2024,LE,FWD,automatic
84,toyota_tacoma,22799,48704.0,,156,Santa Ana,California Motors Direct,2020,SR,RWD,automatic
85,toyota_sienna,46299,9288.0,4.0,91,Santa Ana,California Motors Direct,2023,XSE 7-Passenger,FWD,automatic
86,toyota_camry,23585,61253.0,4.0,63,Santa Ana,California Motors Direct,2020,XSE,FWD,automatic
87,toyota_86,22899,50523.0,4.0,23,Santa Ana,California Motors Direct,2019,GT,RWD,manual
88,toyota_camry,29399,26445.0,4.0,69,Santa Ana,California Motors Direct,2023,XSE,FWD,automatic
89,toyota_prius,24899,51769.0,4.0,97,Santa Ana,California Motors Direct,2023,LE,FWD,automatic
90,toyota_prius,29199,8341.0,4.0,57,Santa Ana,California Motors Direct,2024,LE,FWD,automatic
91,toyota_4_runner,41499,56896.0,6.0,49,Santa Ana,California Motors Direct,2020,SR5,4X4,automatic
92,toyota_tacoma,32999,52520.0,6.0,14,Santa Ana,California Motors Direct,2019,SR V6,4X4,automatic
93,toyota_camry,21999,66470.0,4.0,14,Santa Ana,California Motors Direct,2019,XSE,FWD,automatic
94,toyota_corolla,17799,44596.0,4.0,14,Santa Ana,California Motors Direct,2022,LE,FWD,automatic
95,toyota_86,19499,63401.0,4.0,23,Santa Ana,California Motors Direct,2017,Base,RWD,automatic
96,toyota_gr86,26999,25547.0,4.0,72,Santa Ana,California Motors Direct,2022,Premium,RWD,manual
97,toyota_corolla hybrid,19799,64339.0,,87,Santa Ana,California Motors Direct,2022,LE,FWD,automatic
98,toyota_4_runner,37999,42275.0,6.0,6,Santa Ana,California Motors Direct,2022,TRD Off-Road Premium,4X4,automatic
99,toyota_camry,20499,64819.0,4.0,99,Fontana,Fontana Motors Direct,2022,SE,FWD,automatic
100,toyota_rav4,15450,119008.0,4.0,59,Bellflower,605 Auto Sales,2018,LE,FWD,automatic
101,toyota_tacoma,35499,36774.0,6.0,33,Santa Ana,California Motors Direct,2021,SR5 V6,4X4,automatic
102,toyota_corolla hybrid,20399,45133.0,,24,Santa Ana,California Motors Direct,2021,LE,FWD,automatic
103,toyota_prius plug_in hybrid,15699,79944.0,4.0,64,Santa Ana,California Motors Direct,2015,Advanced,FWD,automatic
104,toyota_camry hybrid,29699,24242.0,4.0,57,Santa Ana,California Motors Direct,2023,XSE,FWD,automatic
105,toyota_corolla,18283,27640.0,4.0,30,Santa Ana,California Motors Direct,2023,LE,FWD,automatic
106,toyota_camry hybrid,23593,60343.0,4.0,51,Santa Ana,California Motors Direct,2020,LE,FWD,automatic
107,toyota_corolla hybrid,21719,45980.0,,45,Santa Ana,California Motors Direct,2023,LE,FWD,automatic
108,toyota_tacoma,38692,11695.0,6.0,111,Fontana,Fontana Motors Direct,2022,SR V6,4X4,automatic
109,toyota_camry,19499,70953.0,4.0,97,Fontana,Fontana Motors Direct,2019,L,FWD,automatic
110,toyota_camry,30799,32472.0,6.0,111,Fontana,Fontana Motors Direct,2023,TRD,FWD,automatic
111,toyota_highlander,31087,42054.0,6.0,55,Fontana,Fontana Motors Direct,2022,XLE,FWD,automatic
112,toyota_camry,15599,51030.0,4.0,94,Montclair,IE Motors Direct,2016,SE,FWD,automatic
113,toyota_corolla,19499,27126.0,4.0,20,Montclair,IE Motors Direct,2023,LE,FWD,automatic
114,toyota_rav4 prime,40199,36172.0,4.0,19,Montclair,IE Motors Direct,2023,XSE,AWD,automatic
115,toyota_tacoma,35699,38233.0,6.0,59,Montclair,IE Motors Direct,2023,SR V6,4X4,automatic
116,toyota_corolla,23399,13953.0,4.0,70,Montclair,IE Motors Direct,2024,Nightshade,FWD,automatic
117,toyota_prius plug_in hybrid,14655,80297.0,4.0,99,Montclair,IE Motors Direct,2015,Base,FWD,automatic
118,toyota_rav4,25899,52705.0,4.0,45,Montclair,IE Motors Direct,2022,XLE,FWD,automatic
119,toyota_tacoma,27030,64797.0,6.0,66,Montclair,IE Motors Direct,2019,SR5 V6,RWD,automatic
120,toyota_rav4,21999,66896.0,4.0,76,Montclair,IE Motors Direct,2021,XLE,FWD,automatic
121,toyota_camry,25315,35737.0,4.0,45,Montclair,IE Motors Direct,2023,XLE,FWD,automatic
122,toyota_camry,26947,29578.0,4.0,99,Montclair,IE Motors Direct,2022,XSE,FWD,automatic
123,toyota_camry,24599,26749.0,4.0,64,Montclair,IE Motors Direct,2023,SE,FWD,automatic
124,toyota_camry,19499,42755.0,4.0,63,Montclair,IE Motors Direct,2020,SE,FWD,automatic
125,toyota_camry,24699,41054.0,4.0,44,Montclair,IE Motors Direct,2022,XSE,FWD,automatic
126,toyota_highlander,30199,36798.0,6.0,55,Montclair,IE Motors Direct,2021,Limited,FWD,automatic
127,toyota_rav4,28999,14895.0,4.0,105,Montclair,IE Motors Direct,2023,XLE,FWD,automatic
128,toyota_4_runner,34399,46901.0,6.0,27,Montclair,IE Motors Direct,2019,SR5,4X4,automatic
129,toyota_rav4,27999,21313.0,4.0,105,Montclair,IE Motors Direct,2023,XLE,FWD,automatic
130,toyota_tacoma,32873,68743.0,6.0,58,Santa Ana,California Motors Direct,2018,SR V6,4X4,automatic
131,toyota_camry,24541,45511.0,4.0,105,Santa Ana,California Motors Direct,2020,XSE,FWD,automatic
132,toyota_rav4 hybrid,24535,71418.0,4.0,58,Santa Ana,California Motors Direct,2019,XLE,AWD,automatic
133,toyota_tacoma,40999,7685.0,4.0,36,Fontana,Fontana Motors Direct,2024,TRD Sport,RWD,automatic
134,toyota_tacoma,32899,11207.0,6.0,12,Fontana,Fontana Motors Direct,2023,SR V6,4X4,automatic
135,toyota_rav4,25299,64518.0,4.0,57,Fontana,Fontana Motors Direct,2020,XLE Premium,FWD,automatic
136,toyota_tacoma,25099,52951.0,6.0,35,Fontana,Fontana Motors Direct,2019,SR5 V6,RWD,automatic
137,toyota_86,17999,79013.0,4.0,58,Fontana,Fontana Motors Direct,2017,Base,RWD,manual
138,toyota_camry,17941,90404.0,4.0,136,Fontana,Fontana Motors Direct,2022,SE,FWD,automatic
139,toyota_prius c,16999,62787.0,4.0,14,Fontana,Fontana Motors Direct,2018,One,FWD,automatic
140,toyota_camry hybrid,21299,64157.0,4.0,153,Santa Ana,California Motors Direct,2020,SE,FWD,automatic
141,toyota_camry,21199,74986.0,4.0,44,Santa Ana,California Motors Direct,2021,SE,FWD,automatic
142,toyota_corolla,24699,13637.0,4.0,24,Santa Ana,California Motors Direct,2024,SE,FWD,automatic
143,toyota_highlander,27470,48881.0,6.0,136,Santa Ana,California Motors Direct,2020,XLE,FWD,automatic
144,toyota_highlander hybrid,32799,33251.0,4.0,1,Santa Ana,California Motors Direct,2022,LE,FWD,automatic
145,toyota_prius,22266,26817.0,4.0,55,Santa Ana,California Motors Direct,2016,Four,FWD,automatic
146,toyota_prius,17857,68593.0,4.0,24,Montclair,IE Motors Direct,2018,One,FWD,automatic
147,toyota_rav4 prime,38299,29693.0,4.0,64,Montclair,IE Motors Direct,2022,XSE,AWD,automatic
148,toyota_camry,25299,36246.0,4.0,51,Montclair,IE Motors Direct,2022,XLE,FWD,automatic
149,toyota_camry,23808,30570.0,4.0,98,Montclair,IE Motors Direct,2023,SE,FWD,automatic
150,toyota_prius,16992,75772.0,4.0,30,Montclair,IE Motors Direct,2017,Two Eco,FWD,automatic
151,toyota_prius prime,24799,34827.0,4.0,57,Fontana,Fontana Motors Direct,2022,LE,FWD,automatic
152,toyota_4_runner,31799,55360.0,6.0,30,Fontana,Fontana Motors Direct,2021,SR5 Premium,RWD,automatic
153,toyota_tacoma,25999,38432.0,6.0,0,Fontana,Fontana Motors Direct,2016,SR5 V6,4X4,automatic
154,toyota_prius c,16999,62787.0,4.0,14,Fontana,Fontana Motors Direct,2018,One,FWD,automatic
155,toyota_tacoma,32054,44324.0,6.0,72,Fontana,Fontana Motors Direct,2020,SR5 V6,RWD,automatic
156,toyota_tacoma,30869,60851.0,6.0,94,Fontana,Fontana Motors Direct,2018,SR V6,4X4,automatic
157,toyota_corolla,14799,70024.0,4.0,9,Fontana,Fontana Motors Direct,2020,LE,FWD,automatic
158,toyota_camry hybrid,24799,24379.0,4.0,3,Fontana,Fontana Motors Direct,2021,SE,FWD,automatic
159,toyota_corolla,11089,104187.0,4.0,66,Bellflower,605 Auto Sales,2015,LE Plus,FWD,automatic
160,toyota_4_runner,31799,55360.0,6.0,30,Fontana,Fontana Motors Direct,2021,SR5 Premium,RWD,automatic
161,toyota_tacoma,25999,38432.0,6.0,0,Fontana,Fontana Motors Direct,2016,SR5 V6,4X4,automatic
162,toyota_tacoma,32054,44324.0,6.0,72,Fontana,Fontana Motors Direct,2020,SR5 V6,RWD,automatic
163,toyota_tacoma,30869,60851.0,6.0,94,Fontana,Fontana Motors Direct,2018,SR V6,4X4,automatic
164,toyota_corolla,14799,70024.0,4.0,9,Fontana,Fontana Motors Direct,2020,LE,FWD,automatic
165,toyota_sequoia,32400,95488.0,8.0,10,McKinney,McKinney Buick GMC,2018,TRD Sport,4X4,automatic
166,toyota_camry,28355,62015.0,6.0,1,Surprise,Surprise Ford,2021,TRD,FWD,automatic
167,toyota_rav4,25722,39553.0,4.0,3,Scottsdale,Infiniti of Scottsdale,2020,XLE,AWD,automatic
168,toyota_camry,34980,,4.0,22,Scottsdale,Infiniti of Scottsdale,2025,XLE,FWD,automatic
169,toyota_camry,36419,1680.0,4.0,19,Scottsdale,Infiniti of Scottsdale,2025,LE,FWD,automatic
170,toyota_camry,24999,40039.0,4.0,33,Kansas City,Van Subaru MO,2023,SE,FWD,automatic
171,toyota_tacoma,38575,16897.0,6.0,11,Scottsdale,Van Chevrolet AZ,2023,TRD Off-Road,4X4,automatic
172,toyota_camry,38849,,4.0,69,Scottsdale,Van Chevrolet AZ,2025,XLE,FWD,automatic
173,toyota_tacoma,35574,20038.0,6.0,31,Frisco,Crest Nissan,2022,Limited,RWD,automatic
174,toyota_camry,32427,7302.0,4.0,28,Frisco,Crest Nissan,2025,SE,FWD,automatic
175,toyota_corolla,14044,71993.0,4.0,30,Scottsdale,Van Chevrolet AZ,2020,L,FWD,automatic
176,toyota_highlander,16347,112685.0,6.0,21,Frisco,Crest Nissan,2016,LE,FWD,automatic
177,toyota_prius prime,19468,89701.0,4.0,28,Phoenix,Camelback Ford,2019,Premium,FWD,automatic
178,toyota_corolla,18231,59839.0,4.0,24,Phoenix,Camelback Ford,2022,LE,FWD,automatic
179,toyota_crown,57858,5.0,4.0,21,Decatur,Crown Toyota,2025,Platinum,AWD,automatic
180,toyota_camry,40554,10.0,4.0,71,Houston,Joe Myers Toyota,2025,XLE,FWD,automatic
181,toyota_camry,34205,,4.0,10,Houston,Joe Myers Toyota,2025,SE,FWD,automatic
182,toyota_tundra,49507,10.0,6.0,69,Houston,Joe Myers Toyota,2025,SR5,RWD,automatic
183,toyota_corolla,20999,18606.0,4.0,6,Houston,Joe Myers Toyota,2023,LE,FWD,automatic
184,toyota_corolla,23455,,4.0,15,Houston,Joe Myers Toyota,2025,LE,FWD,automatic
185,toyota_crown signia,53379,10.0,4.0,10,Houston,Joe Myers Toyota,2025,Limited,AWD,automatic
186,toyota_crown,59235,10.0,4.0,10,Houston,Joe Myers Toyota,2025,Platinum,AWD,automatic
187,toyota_land cruiser,60971,10.0,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
188,toyota_land cruiser,60971,,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
189,toyota_land cruiser,60971,,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
190,toyota_land cruiser,60971,,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
191,toyota_land cruiser,60971,10.0,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
192,toyota_land cruiser,60971,,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
193,toyota_land cruiser,60971,10.0,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
194,toyota_land cruiser,60971,,4.0,10,Houston,Joe Myers Toyota,2025,1958,4X4,automatic
195,toyota_rav4 prime,48256,10.0,4.0,71,Houston,Joe Myers Toyota,2024,SE,AWD,automatic
196,toyota_rav4 hybrid,45766,,4.0,10,Houston,Joe Myers Toyota,2025,Limited,AWD,automatic
197,toyota_camry,34035,10.0,4.0,27,Houston,Joe Myers Toyota,2025,SE,FWD,automatic
198,toyota_camry,45923,10.0,4.0,27,Houston,Joe Myers Toyota,2025,XSE,AWD,automatic
199,toyota_highlander,35691,22547.0,4.0,2,Houston,Joe Myers Toyota,2023,XLE,FWD,automatic
200,toyota_corolla,20455,16020.0,4.0,35,Houston,Joe Myers Toyota,2024,LE,FWD,automatic
201,toyota_tacoma,36999,25698.0,4.0,4,Houston,Joe Myers Toyota,2024,TRD Sport,RWD,automatic
202,toyota_camry,22691,27022.0,4.0,6,Houston,Joe Myers Toyota,2022,LE,FWD,automatic
203,toyota_camry,32005,,4.0,29,Houston,Joe Myers Toyota,2025,LE,FWD,automatic
204,toyota_sienna,25999,50239.0,6.0,14,Houston,Joe Myers Toyota,2019,L 7-Passenger,FWD,automatic
205,toyota_corolla cross,26691,20836.0,4.0,10,Houston,Joe Myers Toyota,2024,LE,FWD,automatic
206,toyota_corolla cross hybrid,30846,10.0,4.0,44,Houston,Joe Myers Toyota,2024,S,AWD,automatic
207,toyota_4_runner,38691,31375.0,6.0,14,Houston,Joe Myers Toyota,2023,SR5 Premium,RWD,automatic
208,toyota_b_z4_x,45992,10.0,,90,Houston,Joe Myers Toyota,2024,XLE,FWD,automatic
209,toyota_tacoma,37999,24077.0,6.0,143,Houston,Joe Myers Toyota,2022,TRD Off-Road,4X4,automatic
210,toyota_camry,42384,10.0,4.0,57,Houston,Joe Myers Toyota,2025,XLE,AWD,automatic
211,toyota_sienna,43999,33898.0,42.0,11,Houston,Joe Myers Toyota,2023,XLE 7-Passenger,FWD,automatic
212,toyota_tundra,60033,10.0,6.0,80,Houston,Joe Myers Toyota,2025,SR5,4X4,automatic
213,toyota_corolla,19691,36215.0,4.0,27,Houston,Joe Myers Toyota,2023,LE,FWD,automatic
214,toyota_crown signia,53804,10.0,4.0,43,Houston,Joe Myers Toyota,2025,Limited,AWD,automatic
215,toyota_prius,20691,43727.0,1.0,35,Houston,Joe Myers Toyota,2020,LE,FWD,automatic
216,toyota_rav4 hybrid,41371,10.0,4.0,43,Houston,Joe Myers Toyota,2025,XSE,AWD,
217,toyota_tacoma,25999,27490.0,4.0,2,Grand Prairie,Grand Prairie Ford,2023,SR,RWD,automatic
218,toyota_corolla,20827,22790.0,4.0,83,Irving,Westway Ford,2024,LE,FWD,automatic
219,toyota_tundra,38876,53099.0,8.0,13,Irving,Westway Ford,2020,SR5,4X4,automatic
220,toyota_camry,33438,10.0,4.0,7,Phoenix,Camelback Toyota,2025,XLE,FWD,automatic
221,toyota_camry,28413,10.0,4.0,7,Phoenix,Camelback Toyota,2025,LE,FWD,automatic
222,toyota_camry,38902,14.0,4.0,26,Phoenix,Camelback Toyota,2025,XSE,FWD,automatic
223,toyota_avalon,26687,59969.0,6.0,3,Phoenix,Camelback Toyota,2022,XLE,FWD,automatic
224,toyota_rav4 hybrid,34604,10.0,4.0,8,Phoenix,Camelback Toyota,2025,XLE,AWD,
225,toyota_tundra,48905,14.0,6.0,94,Phoenix,Camelback Toyota,2025,SR5,4X4,automatic
226,toyota_tundra,60431,10.0,6.0,7,Phoenix,Camelback Toyota,2025,Limited,4X4,automatic
227,toyota_tundra,60135,10.0,6.0,7,Phoenix,Camelback Toyota,2025,Limited,4X4,automatic
228,toyota_corolla cross,31628,14.0,4.0,49,Phoenix,Camelback Toyota,2024,XLE,FWD,automatic
229,toyota_4_runner,51649,8716.0,6.0,3,Phoenix,Camelback Toyota,2023,TRD Off-Road Premium,4X4,automatic
230,toyota_camry,32939,,4.0,6,Omaha,Village Pointe Toyota,2025,SE,FWD,automatic
231,toyota_camry,39893,1.0,4.0,24,Omaha,Village Pointe Toyota,2025,XSE,AWD,automatic
232,toyota_sienna,57964,1.0,4.0,119,Omaha,Village Pointe Toyota,2024,Platinum 7-Passenger,AWD,automatic
233,toyota_avalon,25759,80616.0,6.0,45,Dallas,Toyota of Dallas,2019,XLE,FWD,automatic
234,toyota_camry,32287,1.0,4.0,2,Richardson,Toyota of Richardson,2025,SE,FWD,automatic
235,toyota_camry,41129,7.0,4.0,31,Dallas,Toyota of Dallas,2025,XLE,FWD,automatic
236,toyota_camry,39600,12.0,4.0,124,Richardson,Toyota of Richardson,2025,XLE,FWD,automatic
237,toyota_avalon,23172,62685.0,6.0,45,Richardson,Toyota of Richardson,2021,XLE,FWD,automatic
238,toyota_tacoma,32985,54538.0,6.0,44,Dallas,Toyota of Dallas,2019,TRD Sport,4X4,automatic
239,toyota_tundra,57244,89542.0,6.0,8,Richardson,Toyota of Richardson,2025,Limited,4X4,automatic
240,toyota_corolla cross hybrid,33526,7.0,4.0,65,Dallas,Toyota of Dallas,2024,Nightshade,AWD,automatic
241,toyota_land cruiser,61672,2.0,4.0,57,Dallas,Toyota of Dallas,2025,1958,4X4,
242,toyota_rav4,14988,86331.0,4.0,3,Richardson,Toyota of Richardson,2015,XLE,AWD,automatic
243,toyota_tundra,47990,41374.0,8.0,0,Richardson,Toyota of Richardson,2020,Platinum,4X4,automatic
244,toyota_rav4,33588,1.0,4.0,1,Richardson,Toyota of Richardson,2025,XLE,FWD,automatic
245,toyota_tacoma,54126,7.0,4.0,30,Dallas,Toyota of Dallas,2024,TRD Sport,4X4,automatic
246,toyota_tacoma,35865,2.0,4.0,7,Richardson,Toyota of Richardson,2024,SR,RWD,automatic
247,toyota_tacoma,68475,2.0,4.0,7,Richardson,Toyota of Richardson,2024,TRD Pro HV,4X4,automatic
248,toyota_tacoma,22500,54363.0,,23,Dallas,Toyota of Dallas,2021,SR,RWD,automatic
249,toyota_avalon,25898,64973.0,6.0,19,Dallas,Toyota of Dallas,2021,XLE,FWD,automatic
250,toyota_camry,41554,2.0,4.0,30,Richardson,Toyota of Richardson,2025,XLE,FWD,automatic
251,toyota_camry,40909,5.0,4.0,43,Dallas,Toyota of Dallas,2025,XLE,FWD,automatic
252,toyota_camry,41055,2.0,4.0,22,Richardson,Toyota of Richardson,2025,XLE,FWD,automatic
253,toyota_camry,39814,2.0,4.0,7,Richardson,Toyota of Richardson,2025,XSE,FWD,automatic
254,toyota_camry,20720,76878.0,4.0,59,Richardson,Toyota of Richardson,2020,XLE,FWD,automatic
255,toyota_camry,22485,57615.0,4.0,8,Richardson,Toyota of Richardson,2021,SE,FWD,automatic
256,toyota_camry,24585,34829.0,4.0,60,Richardson,Toyota of Richardson,2021,SE,FWD,automatic
