,model,price,mileage,cylinder,daysOnMarket,city,dealer,year,trim,driveline,transmission
3428,toyota_highlander,40901,31066.0,4.0,10,Grapevine,Texas Toyota of Grapevine,2024,XSE,AWD,automatic
3429,toyota_highlander,40901,33086.0,4.0,9,Grapevine,Texas Toyota of Grapevine,2024,XSE,AWD,automatic
3430,toyota_corolla cross,22901,21106.0,4.0,45,Grapevine,Texas Toyota of Grapevine,2024,LE,FWD,automatic
3431,toyota_crown signia,50620,10.0,4.0,8,San Antonio,North Park Toyota,2025,Limited,AWD,automatic
3432,toyota_crown signia,44078,7.0,4.0,62,San Antonio,North Park Toyota,2025,XLE,AWD,automatic
3433,toyota_corolla hybrid,30246,10.0,4.0,157,San Antonio,North Park Toyota,2024,LE,FWD,automatic
3434,toyota_land cruiser,61971,10.0,4.0,8,San Antonio,North Park Toyota,2025,1958,4X4,automatic
3435,toyota_4_runner,36901,15039.0,6.0,9,Grapevine,Texas Toyota of Grapevine,2024,SR5,RWD,automatic
3436,toyota_rav4 hybrid,37258,10.0,4.0,8,San Antonio,North Park Toyota,2025,XLE Premium,AWD,automatic
3437,toyota_rav4 hybrid,37681,10.0,4.0,8,San Antonio,North Park Toyota,2025,XLE Premium,AWD,automatic
3438,toyota_rav4,34424,4.0,4.0,20,Evansville,Kenny Kent Toyota,2025,XLE,AWD,automatic
3439,toyota_tacoma,44683,4.0,4.0,100,Evansville,Kenny Kent Toyota,2024,SR5,4X4,automatic
3440,toyota_rav4 hybrid,37074,,4.0,35,Evansville,Kenny Kent Toyota,2025,XLE,AWD,automatic
3441,toyota_prius,34764,,4.0,35,Evansville,Kenny Kent Toyota,2024,XLE,FWD,automatic
3442,toyota_b_z4_x,50374,6.0,,73,Evansville,Kenny Kent Toyota,2024,Limited,AWD,automatic
3443,toyota_rav4,32208,3.0,4.0,32,Evansville,Kenny Kent Toyota,2025,LE,AWD,automatic
3444,toyota_tacoma,48150,17507.0,6.0,14,Evansville,Kenny Kent Toyota,2023,TRD Pro,4X4,automatic
3445,toyota_camry,34599,,4.0,38,Evansville,Kenny Kent Toyota,2025,SE,FWD,automatic
3446,toyota_camry,34599,,4.0,38,Evansville,Kenny Kent Toyota,2025,SE,FWD,automatic
3447,toyota_camry,36349,,4.0,38,Evansville,Kenny Kent Toyota,2025,XLE,FWD,automatic
3448,toyota_camry,36748,1.0,4.0,9,Evansville,Kenny Kent Toyota,2025,LE,AWD,automatic
3449,toyota_camry,39074,,4.0,27,Evansville,Kenny Kent Toyota,2025,XSE,AWD,automatic
3450,toyota_camry,36124,,4.0,38,Evansville,Kenny Kent Toyota,2025,SE,AWD,automatic
